height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 508
P.y = 19.884733, Pt.y = 0.000000, Q.y = 19.884733, Qt.y = 0.000000, R.y = 19.884733, Rt.y = 0.000000, S.y = 19.884733, St.y = 0.000000
P.y = 19.878052, Pt.y = 0.000000, Q.y = 19.878052, Qt.y = 0.000000, R.y = 19.878052, Rt.y = 0.000000, S.y = 19.878052, St.y = 0.000000
P.y = 19.871183, Pt.y = 0.000000, Q.y = 19.871183, Qt.y = 0.000000, R.y = 19.871183, Rt.y = 0.000000, S.y = 19.871183, St.y = 0.000000
P.y = 19.864126, Pt.y = 0.000000, Q.y = 19.864126, Qt.y = 0.000000, R.y = 19.864126, Rt.y = 0.000000, S.y = 19.864126, St.y = 0.000000
P.y = 19.856880, Pt.y = 0.000000, Q.y = 19.856880, Qt.y = 0.000000, R.y = 19.856880, Rt.y = 0.000000, S.y = 19.856880, St.y = 0.000000
P.y = 19.849447, Pt.y = 0.000000, Q.y = 19.849447, Qt.y = 0.000000, R.y = 19.849447, Rt.y = 0.000000, S.y = 19.849447, St.y = 0.000000
P.y = 19.841825, Pt.y = 0.000000, Q.y = 19.841825, Qt.y = 0.000000, R.y = 19.841825, Rt.y = 0.000000, S.y = 19.841825, St.y = 0.000000
P.y = 19.834015, Pt.y = 0.000000, Q.y = 19.834015, Qt.y = 0.000000, R.y = 19.834015, Rt.y = 0.000000, S.y = 19.834015, St.y = 0.000000
P.y = 19.826017, Pt.y = 0.000000, Q.y = 19.826017, Qt.y = 0.000000, R.y = 19.826017, Rt.y = 0.000000, S.y = 19.826017, St.y = 0.000000
P.y = 19.817831, Pt.y = 0.000000, Q.y = 19.817831, Qt.y = 0.000000, R.y = 19.817831, Rt.y = 0.000000, S.y = 19.817831, St.y = 0.000000
P.y = 19.809456, Pt.y = 0.000000, Q.y = 19.809456, Qt.y = 0.000000, R.y = 19.809456, Rt.y = 0.000000, S.y = 19.809456, St.y = 0.000000
P.y = 19.800892, Pt.y = 0.000000, Q.y = 19.800892, Qt.y = 0.000000, R.y = 19.800892, Rt.y = 0.000000, S.y = 19.800892, St.y = 0.000000
P.y = 19.792141, Pt.y = 0.000000, Q.y = 19.792141, Qt.y = 0.000000, R.y = 19.792141, Rt.y = 0.000000, S.y = 19.792141, St.y = 0.000000
P.y = 19.783201, Pt.y = 0.000000, Q.y = 19.783201, Qt.y = 0.000000, R.y = 19.783201, Rt.y = 0.000000, S.y = 19.783201, St.y = 0.000000
P.y = 19.774073, Pt.y = 0.000000, Q.y = 19.774073, Qt.y = 0.000000, R.y = 19.774073, Rt.y = 0.000000, S.y = 19.774073, St.y = 0.000000
P.y = 19.766300, Pt.y = 0.000000, Q.y = 19.766300, Qt.y = 0.000000, R.y = 19.766300, Rt.y = 0.000000, S.y = 19.766300, St.y = 0.000000
P.y = 19.758398, Pt.y = 0.000000, Q.y = 19.758398, Qt.y = 0.000000, R.y = 19.758398, Rt.y = 0.000000, S.y = 19.758398, St.y = 0.000000
P.y = 19.750364, Pt.y = 0.000000, Q.y = 19.750364, Qt.y = 0.000000, R.y = 19.750364, Rt.y = 0.000000, S.y = 19.750364, St.y = 0.000000
P.y = 19.742199, Pt.y = 0.000000, Q.y = 19.742199, Qt.y = 0.000000, R.y = 19.742199, Rt.y = 0.000000, S.y = 19.742199, St.y = 0.000000
P.y = 19.733902, Pt.y = 0.000000, Q.y = 19.733902, Qt.y = 0.000000, R.y = 19.733902, Rt.y = 0.000000, S.y = 19.733902, St.y = 0.000000
P.y = 19.725473, Pt.y = 0.000000, Q.y = 19.725473, Qt.y = 0.000000, R.y = 19.725473, Rt.y = 0.000000, S.y = 19.725473, St.y = 0.000000
P.y = 19.716913, Pt.y = 0.000000, Q.y = 19.716913, Qt.y = 0.000000, R.y = 19.716913, Rt.y = 0.000000, S.y = 19.716913, St.y = 0.000000
P.y = 19.708221, Pt.y = 0.000000, Q.y = 19.708221, Qt.y = 0.000000, R.y = 19.708221, Rt.y = 0.000000, S.y = 19.708221, St.y = 0.000000
P.y = 19.699398, Pt.y = 0.000000, Q.y = 19.699398, Qt.y = 0.000000, R.y = 19.699398, Rt.y = 0.000000, S.y = 19.699398, St.y = 0.000000
P.y = 19.690443, Pt.y = 0.000000, Q.y = 19.690443, Qt.y = 0.000000, R.y = 19.690443, Rt.y = 0.000000, S.y = 19.690443, St.y = 0.000000
P.y = 19.681356, Pt.y = 0.000000, Q.y = 19.681356, Qt.y = 0.000000, R.y = 19.681356, Rt.y = 0.000000, S.y = 19.681356, St.y = 0.000000
P.y = 19.672140, Pt.y = 0.000000, Q.y = 19.672140, Qt.y = 0.000000, R.y = 19.672140, Rt.y = 0.000000, S.y = 19.672140, St.y = 0.000000
P.y = 19.662792, Pt.y = 0.000000, Q.y = 19.662792, Qt.y = 0.000000, R.y = 19.662792, Rt.y = 0.000000, S.y = 19.662792, St.y = 0.000000
P.y = 19.653313, Pt.y = 0.000000, Q.y = 19.653313, Qt.y = 0.000000, R.y = 19.653313, Rt.y = 0.000000, S.y = 19.653313, St.y = 0.000000
P.y = 19.643702, Pt.y = 0.000000, Q.y = 19.643702, Qt.y = 0.000000, R.y = 19.643702, Rt.y = 0.000000, S.y = 19.643702, St.y = 0.000000
P.y = 19.633959, Pt.y = 0.000000, Q.y = 19.633959, Qt.y = 0.000000, R.y = 19.633959, Rt.y = 0.000000, S.y = 19.633959, St.y = 0.000000
P.y = 19.624084, Pt.y = 0.000000, Q.y = 19.624084, Qt.y = 0.000000, R.y = 19.624084, Rt.y = 0.000000, S.y = 19.624084, St.y = 0.000000
P.y = 19.614079, Pt.y = 0.000000, Q.y = 19.614079, Qt.y = 0.000000, R.y = 19.614079, Rt.y = 0.000000, S.y = 19.614079, St.y = 0.000000
P.y = 19.603941, Pt.y = 0.000000, Q.y = 19.603941, Qt.y = 0.000000, R.y = 19.603941, Rt.y = 0.000000, S.y = 19.603941, St.y = 0.000000
P.y = 19.593672, Pt.y = 0.000000, Q.y = 19.593672, Qt.y = 0.000000, R.y = 19.593672, Rt.y = 0.000000, S.y = 19.593672, St.y = 0.000000
P.y = 19.583273, Pt.y = 0.000000, Q.y = 19.583273, Qt.y = 0.000000, R.y = 19.583273, Rt.y = 0.000000, S.y = 19.583273, St.y = 0.000000
P.y = 19.572742, Pt.y = 0.000000, Q.y = 19.572742, Qt.y = 0.000000, R.y = 19.572742, Rt.y = 0.000000, S.y = 19.572742, St.y = 0.000000
P.y = 19.562080, Pt.y = 0.000000, Q.y = 19.562080, Qt.y = 0.000000, R.y = 19.562080, Rt.y = 0.000000, S.y = 19.562080, St.y = 0.000000
P.y = 19.551287, Pt.y = 0.000000, Q.y = 19.551287, Qt.y = 0.000000, R.y = 19.551287, Rt.y = 0.000000, S.y = 19.551287, St.y = 0.000000
P.y = 19.540361, Pt.y = 0.000000, Q.y = 19.540361, Qt.y = 0.000000, R.y = 19.540361, Rt.y = 0.000000, S.y = 19.540361, St.y = 0.000000
P.y = 19.529305, Pt.y = 0.000000, Q.y = 19.529305, Qt.y = 0.000000, R.y = 19.529305, Rt.y = 0.000000, S.y = 19.529305, St.y = 0.000000
P.y = 19.518116, Pt.y = 0.000000, Q.y = 19.518116, Qt.y = 0.000000, R.y = 19.518116, Rt.y = 0.000000, S.y = 19.518116, St.y = 0.000000
P.y = 19.506796, Pt.y = 0.000000, Q.y = 19.506796, Qt.y = 0.000000, R.y = 19.506796, Rt.y = 0.000000, S.y = 19.506796, St.y = 0.000000
P.y = 19.495344, Pt.y = 0.000000, Q.y = 19.495344, Qt.y = 0.000000, R.y = 19.495344, Rt.y = 0.000000, S.y = 19.495344, St.y = 0.000000
P.y = 19.483761, Pt.y = 0.000000, Q.y = 19.483761, Qt.y = 0.000000, R.y = 19.483761, Rt.y = 0.000000, S.y = 19.483761, St.y = 0.000000
P.y = 19.472048, Pt.y = 0.000000, Q.y = 19.472048, Qt.y = 0.000000, R.y = 19.472048, Rt.y = 0.000000, S.y = 19.472048, St.y = 0.000000
P.y = 19.460203, Pt.y = 0.000000, Q.y = 19.460203, Qt.y = 0.000000, R.y = 19.460203, Rt.y = 0.000000, S.y = 19.460203, St.y = 0.000000
P.y = 19.448227, Pt.y = 0.000000, Q.y = 19.448227, Qt.y = 0.000000, R.y = 19.448227, Rt.y = 0.000000, S.y = 19.448227, St.y = 0.000000
P.y = 19.436119, Pt.y = 0.000000, Q.y = 19.436119, Qt.y = 0.000000, R.y = 19.436119, Rt.y = 0.000000, S.y = 19.436119, St.y = 0.000000
P.y = 19.423880, Pt.y = 0.000000, Q.y = 19.423880, Qt.y = 0.000000, R.y = 19.423880, Rt.y = 0.000000, S.y = 19.423880, St.y = 0.000000
P.y = 19.411509, Pt.y = 0.000000, Q.y = 19.411509, Qt.y = 0.000000, R.y = 19.411509, Rt.y = 0.000000, S.y = 19.411509, St.y = 0.000000
P.y = 19.399006, Pt.y = 0.000000, Q.y = 19.399006, Qt.y = 0.000000, R.y = 19.399006, Rt.y = 0.000000, S.y = 19.399006, St.y = 0.000000
P.y = 19.386372, Pt.y = 0.000000, Q.y = 19.386372, Qt.y = 0.000000, R.y = 19.386372, Rt.y = 0.000000, S.y = 19.386372, St.y = 0.000000
P.y = 19.373606, Pt.y = 0.000000, Q.y = 19.373606, Qt.y = 0.000000, R.y = 19.373606, Rt.y = 0.000000, S.y = 19.373606, St.y = 0.000000
P.y = 19.360708, Pt.y = 0.000000, Q.y = 19.360708, Qt.y = 0.000000, R.y = 19.360708, Rt.y = 0.000000, S.y = 19.360708, St.y = 0.000000
P.y = 19.347681, Pt.y = 0.000000, Q.y = 19.347681, Qt.y = 0.000000, R.y = 19.347681, Rt.y = 0.000000, S.y = 19.347681, St.y = 0.000000
P.y = 19.334522, Pt.y = 0.000000, Q.y = 19.334522, Qt.y = 0.000000, R.y = 19.334522, Rt.y = 0.000000, S.y = 19.334522, St.y = 0.000000
P.y = 19.321232, Pt.y = 0.000000, Q.y = 19.321232, Qt.y = 0.000000, R.y = 19.321232, Rt.y = 0.000000, S.y = 19.321232, St.y = 0.000000
P.y = 19.307810, Pt.y = 0.000000, Q.y = 19.307810, Qt.y = 0.000000, R.y = 19.307810, Rt.y = 0.000000, S.y = 19.307810, St.y = 0.000000
P.y = 19.294256, Pt.y = 0.000000, Q.y = 19.294256, Qt.y = 0.000000, R.y = 19.294256, Rt.y = 0.000000, S.y = 19.294256, St.y = 0.000000
P.y = 19.280571, Pt.y = 0.000000, Q.y = 19.280571, Qt.y = 0.000000, R.y = 19.280571, Rt.y = 0.000000, S.y = 19.280571, St.y = 0.000000
P.y = 19.266754, Pt.y = 0.000000, Q.y = 19.266754, Qt.y = 0.000000, R.y = 19.266754, Rt.y = 0.000000, S.y = 19.266754, St.y = 0.000000
P.y = 19.252806, Pt.y = 0.000000, Q.y = 19.252806, Qt.y = 0.000000, R.y = 19.252806, Rt.y = 0.000000, S.y = 19.252806, St.y = 0.000000
P.y = 19.238726, Pt.y = 0.000000, Q.y = 19.238726, Qt.y = 0.000000, R.y = 19.238726, Rt.y = 0.000000, S.y = 19.238726, St.y = 0.000000
P.y = 19.224516, Pt.y = 0.000000, Q.y = 19.224516, Qt.y = 0.000000, R.y = 19.224516, Rt.y = 0.000000, S.y = 19.224516, St.y = 0.000000
P.y = 19.206390, Pt.y = 0.000000, Q.y = 19.206390, Qt.y = 0.000000, R.y = 19.206390, Rt.y = 0.000000, S.y = 19.206390, St.y = 0.000000
